City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
tyrma,15,RU,1581949960,99,50.08,132.17,-3.82,1.68
bluff,100,NZ,1581949961,96,-46.6,168.33,55.99,1.01
lavrentiya,100,RU,1581949961,86,65.58,-171.0,-4.5,12.33
krasnozavodsk,100,RU,1581949962,88,56.45,38.22,36.99,18.28
jamestown,90,US,1581949962,100,42.1,-79.24,30.2,4.7
asfi,0,MA,1581949962,64,32.3,-9.24,68.9,18.03
padang,100,ID,1581949962,97,-0.95,100.35,69.71,2.33
iqaluit,20,CA,1581949962,67,63.75,-68.51,-27.4,7.74
yellowknife,5,CA,1581949962,73,62.46,-114.35,-31.0,11.41
longyearbyen,75,SJ,1581949698,72,78.22,15.64,10.4,2.24
port alfred,100,ZA,1581949963,87,-33.59,26.89,71.01,5.99
saint-joseph,75,RE,1581949964,74,-21.37,55.62,82.4,24.16
rikitea,100,PF,1581949964,82,-23.12,-134.97,78.21,15.26
independence,90,US,1581949922,86,39.09,-94.42,43.0,2.35
qaanaaq,53,GL,1581949964,64,77.48,-69.36,-7.06,2.66
marawi,87,PH,1581949965,90,8.0,124.29,77.0,1.01
provideniya,97,RU,1581949965,93,64.38,-173.3,-1.91,16.58
chuy,100,UY,1581949965,69,-33.7,-53.46,83.41,8.57
ushuaia,40,AR,1581949702,61,-54.8,-68.3,51.8,5.82
bethel,1,US,1581949965,64,41.37,-73.41,43.0,3.36
ostrovnoy,92,RU,1581949966,90,68.05,39.51,32.95,27.67
cairns,75,AU,1581949859,78,-16.92,145.77,80.6,8.05
grand gaube,75,MU,1581949967,83,-20.01,57.66,80.6,11.41
kahului,40,US,1581949967,73,20.89,-156.47,71.6,11.41
makokou,100,GA,1581949967,77,0.57,12.86,80.6,4.92
koindu,0,GN,1581949967,20,8.44,-10.33,100.76,2.37
atuona,0,PF,1581949967,78,-9.8,-139.03,81.01,20.31
puerto ayora,40,EC,1581949968,78,-0.74,-90.35,80.6,10.29
cabo san lucas,90,MX,1581949812,42,22.89,-109.91,69.01,6.93
aklavik,5,CA,1581949802,61,68.22,-135.01,-18.4,12.75
pangnirtung,90,CA,1581949968,67,66.15,-65.71,-23.8,2.71
kencong,100,ID,1581949968,84,-8.28,113.37,78.62,14.2
maceio,75,BR,1581949706,55,-9.67,-35.74,87.8,10.29
hobart,7,AU,1581949969,76,-42.88,147.33,53.01,9.6
asau,74,RO,1581949969,47,46.43,26.4,57.99,16.11
ouesso,100,CG,1581949969,40,1.61,16.05,91.36,5.32
linqiong,76,CN,1581949969,49,30.42,103.46,51.01,2.24
acapetahua,5,MX,1581949970,64,15.28,-92.7,75.2,2.44
tiznit,46,MA,1581949970,15,29.58,-9.5,76.68,11.99
busselton,0,AU,1581949749,24,-33.65,115.33,69.01,19.82
guerrero negro,100,MX,1581949971,77,27.98,-114.06,60.01,12.48
iskateley,100,RU,1581949971,93,67.68,53.15,28.13,30.96
port elizabeth,75,ZA,1581949971,78,-33.92,25.57,73.4,12.75
stabat,20,ID,1581949971,94,3.76,98.45,80.6,3.36
chokurdakh,93,RU,1581949972,97,70.63,147.92,-2.54,7.83
diego de almagro,0,CL,1581949842,26,-26.37,-70.05,81.23,10.13
mataura,100,NZ,1581949973,96,-46.19,168.86,55.99,1.01
albany,75,US,1581949677,55,42.6,-73.97,36.0,6.93
castro,35,BR,1581949973,42,-24.79,-50.01,86.11,4.21
ribeira grande,40,PT,1581949879,55,38.52,-28.7,60.8,4.7
adyge-khabl,0,RU,1581949974,6,44.33,41.94,36.0,17.0
brokopondo,43,SR,1581949974,58,4.75,-55.17,84.36,5.55
encruzilhada do sul,99,BR,1581949974,46,-30.54,-52.52,90.34,8.01
hermanus,26,ZA,1581949974,69,-34.42,19.23,73.99,8.01
coahuayana,5,MX,1581949975,64,18.73,-103.68,75.2,4.16
cherskiy,100,RU,1581949975,93,68.75,161.3,-19.62,6.93
szczecin,100,PL,1581949975,46,53.43,14.55,51.01,12.75
esperance,90,AU,1581949975,72,-33.87,121.9,60.8,10.29
hithadhoo,28,MV,1581949975,74,-0.6,73.08,83.98,7.49
sinnamary,93,GF,1581949976,76,5.38,-52.95,79.41,17.27
jiayuguan,0,CN,1581949976,31,39.82,98.3,26.51,8.68
barrow,1,US,1581949976,89,71.29,-156.79,-34.6,6.93
